,title,area,numberOfRooms,price,town,district
0,"KINALIADA İSKELEYE , ÇARŞIYA COK YAKİN MERKEZİ KONUMDA 2+1",110,2+1,3.450.000,KınalıadaKınalıada Mh,.
1,Sahibinden bakımlı iskeleye 5 dk yürüme mesafesinde,85,2+1,4.050.000,BüyükadaNizam Mh,.
2,Katta Tek orta kat,130,2+1,3.500.000,KınalıadaKınalıada Mh,.
3,Planet'ten İskeleye 5 Dkka İçi Sıfır Geniş 1+1 Ara Kat Daire,75,1+1,2.100.000,,
4,KINALIADA AKASYA CADDESİNDE KOMPLE SATILIK BİNA 2 DAİRE 1 İŞYERİ,900,4+2,19.500.000,KınalıadaKınalıada Mh,.
5,Planet'ten Merkezde İçi Masrafsız Bahçeli 2+1 Bahçe Katı,60,2+1,1.600.000,BüyükadaMaden Mh,.
6,KONAK EMLAK 3+1 DENİZ MANZARALI - HAVUZ SATILIK DAİRE,130,3+1,4.450.000,BüyükadaNizam Mh,.
7,HEYBELİADA'DA 2+1 SATILIK DUBLEKS,85,2+1,2.450.000,,
8,Heybeliada Merkezde Satılık Giriş Kat 2+1 Daire,100,2+1,2.000.000,,
9,Planet'ten İskeleye Yakın Geniş 2+1 Bahçe Katı Daire,110,2+1,1.980.000,BüyükadaNizam Mh,.
10,ARYN'DEN BÜYÜKADA'DA SATILIK BAHÇE DUBLEX,170,4+1,4.500.000,BüyükadaNizam Mh,.
11,Heybeliada 2+1 iskeleye çok yakın,75,2+1,1.900.000,,
12,KINALIADA'NIN EN PRESTİJLİ CADDESİ AKASYA CADDESİNDE 2+1 DAİRE,85,2+1,3.950.000,KınalıadaKınalıada Mh,.
13,HEYBELİADADA SATILIK BAHÇE KATI 3+1 SATILIK DAİRE,140,3+1,2.150.000,,
14,BÜYÜKADA'DA KENDİ PLAJI OLAN HAVUZLU MANZARALI DAİRE,185,3+1,7.500.000,BüyükadaNizam Mh,.
15,BUZGAZADA DENİZ MANZARALI YALI DAİRESİ شقة قصر مطلة على البحر,85,2+1,3.800.000,BurgazadaBurgazada Mh,.
16,BÜYÜKADA EMLAK'TAN SATILIK KEYİFLİ BAHÇE KATI,70,2+1,1.600.000,BüyükadaMaden Mh,.
17,Planet'ten Muhteşem Denize Sıfır Manzaralı Havuzlu Dubleks Daire,155,3+1,4.400.000,BüyükadaMaden Mh,.
18,KINALIADA DA 2+1 1.KAT FIRSAT DAİRE 90 M2,90,2+1,1.530.000,KınalıadaKınalıada Mh,.
19,Sahibinden satılık,62,2+1,850.000,,
20,OKÇU GAYRİMENKUL'DEN BÜYÜKADA'DA DENİZ MANZARALI TERASLI DUBLEKS,200,3+2,3.900.000,BüyükadaNizam Mh,.
21,Büyükada Emlak'tan Kumsal Bölgesinde Deniz ve Doğa Manzaralı 1+1,50,1+1,1.700.000,BüyükadaMaden Mh,.
22,heybeliada merkezde sakin sokakta kombili kat mülkiyetli dubleks,93,3+1,2.500.000,,
23,"Kınalıada'da, İskeleye 300 Metre Mesafede Muhteşem Manzaralı",270,4+1,12.150.000,KınalıadaKınalıada Mh,.
24,Kınalıada Tekinay caddesinde Satılık Daire FİYAT DÜŞTÜ !!,80,2+1,1.200.000,KınalıadaKınalıada Mh,.
25,SAHİBİNDEN SATILIK HEYBELİADA'DA KIŞ BAHÇELİ ARA KAT DAİRE,170,3+1,4.250.000,,
26,Planet'ten Kadıyoran Caddesinde 16 yıllk yeni bina Dubleks Daire,120,3+1,3.900.000,BüyükadaNizam Mh,.
27,Büyükada'da 2+1 Satılık Daire,85,2+1,1.650.000,BüyükadaMaden Mh,.
28,Katta Tek Müstakil Girişli,130,2+1,2.500.000,KınalıadaKınalıada Mh,.
29,BÜYÜKADA'DA HAVUZLU KÖŞK'TE DENİZ MANZARALI 3+1 DAİRE,100,3+1,3.200.000,BüyükadaMaden Mh,.
30,BÜYÜKADA'da ÖZEL İSKELELİ 4+1 YALI DAİRESİ Zu Verkaufen For Sale,210,4+1,9.800.000,BüyükadaMaden Mh,.
31,BÜYÜKADA'da ÖZEL İSKELELİ 4+1 YALI DAİRESİ Zu Verkaufen For Sale,210,4+1,9.800.000,BüyükadaMaden Mh,.
32,HEYBELİADA SATILIK 4+1 DENİZ MANZARALI EŞYALI DUBLEKS İMAJ'DAN,185,4+1,4.150.000,,
33,Planet'ten İskeleye Yakın Düz Giriş 3+1 Bahçe Katı Daire,115,3+1,1.990.000,BüyükadaMaden Mh,.
34,"Turyap'tan, Heybeli Ada'da, 5+1, 250m2, Deniz Manzaralı Dublex",250,5+1,3.200.000,,
35,Heybeliada Plaj Mevkii Satılık 3+2 Dubleks Daire,170,3+2,3.000.000,,
36,BÜYÜKADA 2 ADET YALI DAİRESİ Zu Verkaufen For Sale,230,5+2,10.880.000,BüyükadaMaden Mh,.
37,BÜYÜKADA 2 ADET YALI DAİRESİ Zu Verkaufen For Sale,230,5+2,10.880.000,BüyükadaMaden Mh,.
38,Büyükada Emlak'tan Bakımlı Sitede Deniz Doğa Havuz Manzaralı 4+1,180,4+1,3.650.000,BüyükadaNizam Mh,.
39,BÜYÜKADA NİZAMDA ÇEVİK EMLAKTAN 120M2 3+1 BALKONLU,120,3+1,3.950.000,BüyükadaNizam Mh,.
40,KINALIADA NİDA SİTESİ SATILIK DENİZ MANZARALI MESUT ALTAY' DAN,130,3+1,4.750.000,KınalıadaKınalıada Mh,.
41,Planet'ten Deniz Manzaralı Nizam Caddesinde Ara Kat Daire,105,3+1,3.500.000,BüyükadaNizam Mh,.
42,Heybeliada Plaj Mevkii Satılık 2+1 Daire,80,2+1,1.800.000,,
43,BÜYÜKADA'da 37 DÖNÜM içindeki GÜLBAHÇE SİTESİ' nde 175 M2 DAİRE,175,3+1,5.250.000,BüyükadaNizam Mh,.
44,Büyük ada nizam mah.,140,3+1,6.000.000,BüyükadaNizam Mh,.
45,Kınalıada Da SON FİYAT 750 BİN TL GELEN ALIR,80,2+1,765.000,KınalıadaKınalıada Mh,.
46,Heybeliada Plaj Mevkii Satılık 2+1 Daire,90,2+1,2.000.000,,
47,"Büyükada, Maden Sahibinden Satılık daire",200,4+1,4.650.000,BüyükadaMaden Mh,.
48,BÜYÜKADA İSKELE KARŞISI TERRACE LİDO EVLERİN'DE 120M2 2+1,120,2+1,7.800.000,BüyükadaNizam Mh,.
49,heybeliada'da denize 100 m. muhteşem manzaralı muhteşem dubleks.,256,4+2,6.500.000,,
50,HEYBELİADA SATILIK 1+1 MUHTEŞEM DENİZ MANZARALI MERKEZDE DAİRE,70,1+1,1.750.000,,
51,Planet'ten Merkezde Ana Caddede Alçak Giriş 2+1 Daire,115,2.5+1,1.850.000,BüyükadaMaden Mh,.
52,BÜYÜKADA EMLAK'TAN SONSUZ DENİZ MANZARASI,140,3+1,12.000.000,BüyükadaMaden Mh,.
53,EXTRA'DAN BÜYÜKADA'DA DENİZ MANZARALI 4+1 DAİRE,150,4+1,4.350.000,BüyükadaMaden Mh,.
54,HEYBELİADA SAHİLDE DENİZ MANZARALI FULL EŞYALI SATILIK 3+1 DAİRE,165,3+1,4.400.000,,
55,BÜYÜKADA DENİZ MANZARALI YENİLENMİŞ ÇINARA YAKIN 3+1,85,3+1,1.550.000,BüyükadaMaden Mh,.
56,KONAK EMLAK 1+1 İSKELEYE YAKIN YATIRIM İÇİN FIRSAT SATILIK DAİRE,75,1+1,1.150.000,BüyükadaMaden Mh,.
57,Büyükada Madende Geniş 3+1 Satılık Çatı Dublex,200,3+1,4.700.000,BüyükadaMaden Mh,.
58,Büyükada Emlak'tan Deniz Doğa ve Havuz Manzaralı Dublex Daire,140,3+1,4.000.000,BüyükadaMaden Mh,.
59,KINALIADA AKASYA CADDESİ'NDE DENİZ MANZARALI GENİŞ TERASLI 2+1,162,2+1,7.650.000,KınalıadaKınalıada Mh,.
60,KINALIADA SAHİLDE EŞSİZ DENİZ MANZARALI SATILIK 4+1 DAİRE,168,4+1,7.500.000,KınalıadaKınalıada Mh,.
61,KINALIADA ALSANCAK CADDESİ'NDE DENİZE SIFIR 3+1 BAHÇE KATI,120,3+1,7.500.000,KınalıadaKınalıada Mh,.
62,Büyükada Emlak'tan Ana Cadde de 4+1 Geniş Balkonlu Deniz Manzara,160,4+1,4.500.000,BüyükadaNizam Mh,.
63,Borsem CITY'den***İSTANBUL BÜYÜKADA BAHÇE KATI 3+1 BOŞ HEMEN TES,165,3+1,3.100.000,BüyükadaNizam Mh,.
64,KINALIADA AKASYA CADDESİ'NDE DENİZ MANZARALI EMSALSİZ 5+2 DAİRE,279,5+2,14.000.000,KınalıadaKınalıada Mh,.
65,Büyükada Emlak'tan Merkeze Yakın 3+1 Ara Kat Daire,120,3+1,3.250.000,BüyükadaNizam Mh,.
66,BURGAZADA`DA SATILIK DAİRE,100,2+1,3.000.000,BurgazadaBurgazada Mh,.
67,Kupon deniz Bahçeli,160,3+1,8.000.000,KınalıadaKınalıada Mh,.
68,Kınalıada Narçiçeği Sokakta 2+1 80m2 Satılık Daire,80,2+1,3.000.000,KınalıadaKınalıada Mh,.
69,Planet'ten Mükemmel Konumda Deniz Manzaralı Ara Kat Daire,115,2+1,4.750.000,BüyükadaNizam Mh,.
70,Büyükada Emlak'tan 4+1 Deniz ve Doğa Manzaralı Ara Kat Daire,160,4+1,4.250.000,BüyükadaMaden Mh,.
71,Planet'ten Merkeze Yakın Yüksek Giriş Ferah Geniş Bahçe Katı,125,3+1,3.100.000,BüyükadaMaden Mh,.
72,Planet'ten Kendine Ait Bahçeli Deniz Manzaralı Sıfır Bahçe Katı,125,3+1,3.850.000,BüyükadaNizam Mh,.
73,Heybeli'de Merkezde Harika Masrafsız 137 m2 net 4+2,160,4+2,2.800.000,,
74,Büyükada Emlak'tan 3+1 Keyifli Bahçe Katı Daire,115,3+1,1.990.000,BüyükadaMaden Mh,.
75,Adalar Sedef Adası Muhteşem Deniz Manzaralı Yenilenmiş Müstakil,350,7+3,8.500.000,BüyükadaMaden Mh,.
76,"SAHİBİNDEN 3+1 HAVUZLU, BAHÇELİ, DENİZ MANZARALI, ARAKAT",130,3+1,4.450.000,BüyükadaNizam Mh,.
77,SATILIK ÇATI DUBLEKS,180,4+1,5.200.000,BurgazadaBurgazada Mh,.
78,Planet'ten Deniz Manzaralı Havuzlu 3+1 Dubleks Daire,150,3+1,4.500.000,BüyükadaMaden Mh,.
79,Planet'ten Anadolu Kulübü Mevkiinde İçi Sıfırlanmış 3+1 Daire,125,3+1,4.750.000,BüyükadaNizam Mh,.
80,Murat'tan Merkezde 180 m2 Keyifli Daire,160,3+1,5.000.000,BüyükadaMaden Mh,.
81,Filamingoda,180,2+1,4.400.000,KınalıadaKınalıada Mh,.
